Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
@jofit_o Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:28:59,es,,0.0,0.0,@jofit_o,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@jofit_o estamos aguardando por su número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:28:36,es,,0.0,0.0,@jofit_o,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@jofit_o Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:28:17,es,,0.0,0.0,@jofit_o,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 20:26:10,es,,0.0,16.0,,el zurdito,bien cuervo,68319.0,79411.0,458.0,496.0,1.0,False,,,@cuervooriana
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 20:08:22,es,,0.0,16.0,,LaBolu2DeTuitter,"Una de tantas voces oficiales de los primeros 50 o 200 boludos, que ya son miles.
Los vamos a sacar, y ojalá que sea por las buenas.",1841.0,2798.0,43.0,70.0,0.0,False,,,@LaBolu2Tw
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 19:08:34,es,,0.0,16.0,,Famarce67,,14274.0,76094.0,113.0,159.0,1.0,False,,,@Famarce671
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 19:03:23,es,,0.0,16.0,,Hector Navarro,socio vitalicio y refundador . luche y vuelve.,178205.0,53093.0,152.0,361.0,3.0,False,,,@CuervoNana
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 18:36:14,es,,0.0,16.0,,Aguante tatuarse!,"Prefiero no planear poco o casi nada y que las cosas me sorprendan.Timido,inseguro.Con defectos y de encantos irresistibles. Me encanta tatuarme.",91720.0,92977.0,1445.0,434.0,20.0,False,,,@FerCiclon86
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 18:33:34,es,,0.0,16.0,,NRoma,,43702.0,74797.0,5000.0,1724.0,4.0,False,,,@romario69
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 18:11:04,es,,0.0,16.0,,Jorge Garcia,,68178.0,97020.0,2326.0,955.0,0.0,False,,,@Jordg77
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 17:52:47,es,,0.0,16.0,,Facu SL,Cuervo.,16219.0,26587.0,204.0,177.0,1.0,False,,,@facuzavus_facu
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 17:42:13,es,,0.0,16.0,,Campeon America2014 ✌✌✌,Hincha insoportablemente vivo-     con sangre Azulgrana-viviendo lejos Tan Lejos-Salando las Heridas-yendo Juntos a la Par-Tomando Mate en la Paz,101185.0,132275.0,2735.0,1288.0,5.0,False,,,@juandarioberdej
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 17:35:18,es,,0.0,16.0,,Fry Cuervo,"Aguante DC. 
Ceo en @sociedadpodcast (?)
Cada tanto me sueltan la cadena en @elmetodosanlore
Gracias a Dios no soy la reserva moral de nada

Un día salí en PaP",10470.0,13272.0,228.0,172.0,0.0,False,,,@Lucas_bat1708
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 17:35:01,es,,0.0,16.0,,Diego V.,Odio al futbol moderno. San Lore.,42511.0,74384.0,1340.0,850.0,15.0,False,,,@DS1674
RT @adalozzo: @mesch Me pasó 3 o 4 veces esta semana. Con una imitación del Banco Ciudad. Es increíble cómo están con las estafas. Tengan c…,2022-05-29 23:29:12,es,,0.0,1.0,,Damir,,384.0,310.0,34.0,4.0,1.0,False,,,@HctorMiranda
"RT @ElAguantePeron1: @wadodecorrido @INCaPMInterior AFIP REMATES Y SUBASTAS 
¿PORQUE hay que ""tener cuenta"" con el  gorila ""BANCO CIUDAD"" p…",2022-05-29 19:18:10,es,,0.0,1.0,,Noe,"PROMUEVO y practico la SOLIDARIDAD. 

LA PATRIA ES EL OTRO
#QuedateEnCasa",15061.0,8589.0,1859.0,1693.0,1.0,False,,,@NoeBriggi
RT @elmetodosanlore: Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciud…,2022-05-30 21:58:48,es,,0.0,16.0,,Nicolas Doretti,,105574.0,103083.0,2609.0,1129.0,17.0,False,,,@NicolasDoretti
